Travel_to_School,Travel_time_to_School
Car,6
Car,15
Car,8
Car,14
Car,20
Bus,20
Car,15
Car,10
Car,15
Car,7
Car,7
Walk,4
Bus,55
Car,6
Bus,50
Walk,8
Car,10
Car,7
Car,12
Car,7
Car,7
Car,10
Car,2
Bus,40
Car,3
Car,10
Car,15
Car,10
Car,15
Walk,15
Car,8
Car,15
Bus,30
Bus,20
Bus,15
Car,10
Car,15
Car,12
Car,12
Car,6
Car,25
Car,13
Car,45
Car,10
Bus,15
Car,5
Car,6
Walk,7
Bus,13
Car,10
Bus,15
Car,10
Car,20
Rail (Train/Tram/Subway),60
Walk,9
Car,5
Car,20
Car,30
Car,9
Car,20
Car,10
Rail (Train/Tram/Subway),23
Car,10
Car,20
Car,10
Bus,10
Car,12
Car,20
Walk,2
Car,7
Car,7
Bus,15
Car,10
Car,12
Car,20
Car,10
Car,10
Car,25
Car,10
Car,5
Car,12
Bus,10
Car,5
Car,30
Car,10
Car,20
Bus,29
Car,6
Car,12
Car,30
Bus,20
Car,25
Car,12
Car,15
Car,10
Car,11
Car,5
Car,7
Car,12
Car,25
Bus,40
Car,30
Car,6
Bicycle,10
Bus,15
Bus,15
Car,15
Car,12
Car,5
Car,15
Car,15
Bus,60
Bus,30
Car,30
Bus,7
Car,15
Bus,35
Car,5
Car,10
Car,30
Car,5
Walk,3
Car,6
Car,10
Car,15
Car,15
Car,12
Bus,120
Bus,10
Car,7
Car,8
Walk,25
Car,5
Car,20
Car,9
Car,9
Car,25
Bus,6
Car,25
Car,15
Car,4
Car,10
Car,18
Car,15
Car,5
Walk,25
Bus,45
Bus,15
Car,17
Bus,40
Car,10
Bus,35
Bus,70
Walk,20
Car,15
Car,45
Car,7
Car,15
Car,15
Car,15
Car,10
Car,10
Bus,20
Car,10
Car,15
Car,10
Car,45
Car,6
Car,5
Car,15
Car,25
Car,4
Walk,15
Bus,15
Car,6
Bus,40
Car,4
Car,15
Bicycle,20
Bus,40
Car,10
Car,25
Car,20
Car,10
Car,6
Bus,30
Car,2
Bus,30
Car,7
Car,15
Car,6
Car,5
Walk,10
Car,7
Car,5
Car,10
Car,40
Car,25
Car,15
Bus,7
Bus,20
Walk,4
Car,12
Car,7
Bus,10
Car,8
Car,8
Car,12
Car,20
Car,15
Car,6
Car,5
Bus,70
Car,7
Car,15
Car,15
Car,30
Rail (Train/Tram/Subway),40
Bus,10
Car,45
Car,7
Car,15
Car,28
Car,12
Car,20
Car,10
Car,17
Walk,10
Car,5
Car,35
Car,5
Car,15
Walk,4
Car,5
Car,10
Car,21
Car,15
Bus,15
Bus,20
Car,4
Car,3
Car,5
Rail (Train/Tram/Subway),22
Bus,45
Car,11
Bus,2
Car,7
Car,10
Car,15
Car,8
Car,5
Car,7
Car,2
Car,15
Car,10
Car,15
Car,15
Car,5
Rail (Train/Tram/Subway),25
Car,10
Car,3
Car,15
Car,10
Bus,7
Car,15
Car,11
Car,2
Car,7
Car,17
Car,20
Car,8
Bus,30
Car,4
Car,10
Car,8
Car,6
Car,4
Bus,25
Car,5
Car,30
Car,20
Car,6
Bus,40
Bus,45
Car,12
Car,5
Bus,25
Walk,1
Car,20
Car,10
Car,15
Car,10
Bus,10
Bus,20
Car,8
Car,27
Bus,30
Car,45
Car,20
Car,15
Bus,12
Bus,15
Car,10
Car,15
Car,10
Walk,30
Bus,10
Car,6
Car,15
Car,15
Bus,15
Car,15
Car,18
Walk,15
Bus,18
Car,10
Bus,15
Car,10
Bicycle,15
Bus,15
Car,13
Car,30
Car,10
Car,10
Car,15
Car,25
Car,13
Car,15
Car,21
Car,30
Car,11
Car,3
Car,10
Car,25
Bicycle,10
Car,10
Car,15
Bus,13
Car,5
Car,20
Bus,10
Car,6
Car,7
Bus,60
Car,8
Car,15
Bus,25
Bus,20
Car,15
Car,5
Car,10
Bus,40
Car,20
Car,30
Other,30
Car,10
Walk,20
Car,10
Car,6
Car,15
Car,5
Car,5
Bus,30
Bus,25
Car,10
Car,8
Car,5
Car,15
Car,5
Car,6
Car,15
Car,15
Car,15
Car,6
Car,10
Bus,13
Car,11
Bus,13
Bus,30
Bus,15
Car,15
Bus,19
Car,15
Car,7
Walk,1
Car,5
Car,7
Car,10
Car,10
Car,5
Car,7
Car,20
Car,4
Car,15
Car,12
Car,7
Bus,15
Walk,15
Car,5
Car,10
Car,7
Car,13
Car,25
Car,12
Bus,13
Car,10
Car,5
Car,13
Car,18
Car,14
Car,10
Car,10
Car,8
Car,10
Car,8
Walk,3
Car,1
Car,10
Car,5
Car,17
Car,20
Car,8
Car,25
Car,5
Car,10
Car,40
Car,9
Car,20
Car,3
Car,3
Bus,50
Car,15
Car,12
Car,6
Car,30
Walk,2
Car,15
Car,4
Bus,10
Car,10
Bus,90
Car,5
Car,10
Car,5
Car,60
Car,20
Car,12
Car,5
Car,10
Bus,20
Car,7
Car,15
Car,31
Bicycle,10
Car,15
Bus,10
Car,10
Car,60
Car,8
Car,12
Car,20
Car,15
Car,8
Bus,15
Walk,10
Car,8
Car,7
Car,10
Bus,28
Car,3
Walk,3
Car,10
